sentiment,review_body,product_category
-1,When i saw this blouse online i thought it looked like a great combination of casual with the elegance of an intricate print. i was so disappointed when it came. the print is not centered in the front or the back. it looks like they were trying to save on the material and just cut it out wherever with no thought to symmetry. for this price the detail of centering the design was expected  especially because this is how it appeared in the picture. loved the blouse  but i will be returning it becau,Blouses
-1,This blouse is a disappointment . fabric is cheap looking and the cut is very off. just odd. sleeves awkward . the back of the white shirt on the on-line model is not the same as the white shirt i received. mine was plain in the back like the blue shirt on line even though my shirt was white. no ruffle. returned.,Blouses
-1,I loved this shirt and attempted to buy it - however the armhole is so small i couldn't barely get the shirt off and almost had to call someone into the dressing room to pull it off of me. i'm usually a 6 and i tried on the 6 and 8  and both shirts had the same problem. it wasn't exactly the sleeve that was too tight  but the arm hole that was not big enough. it pulled across the top of my chest and was not roomy enough to slip in and out of. which was odd because the rest of shirt was fine. i d,Blouses
-1,Material is so thin this shirt ripped in three places after wearing only once.    got a size larger than i needed as i have a larger chest and even though it's a bit lose the thread has ripped material on my chest and in the armpits.,Blouses
-1,This would be a great blouse for flat chested person. i am a size 12 and busty. i ordered an xl and it was ridiculously tight across the chest and the fabric is see through. you would need to wear a cami under it.,Blouses
-1,"This top did nothing for me. it billowed in the front and was not flattering. for reference  i am 5""4  115 pounds  and small chested. i ordered the smallest size the top came in (cannot recall if it was an xs or 0). i promptly returned it.",Blouses
-1,"I so wanted to love this tank  and was so excited to get it in the mail! i got a size small (my usual) and it ran so large i wasn't even sure an xs would've fit properly. the material looked lighter and blouse-y on the model  but in person is much thicker and sort of ""hangs"". underarms run large and are gaping from the body. i am sad to return this top because i love the color and idea of it  but it just can't work on me!",Blouses
-1,This tunic could be great but there is some weird construction going on at the armhole. first of all  the armhole is way too low! second  there is a totally unnecessary side seam zipper under the arm. since this is a tunic it slips over the head no problem. no need for the side zipper  it adds bulk and distorts the way the fabric should hang at the side.,Blouses
-1,I loved the design and look to this shirt  but it ran way big for me. i loved the forgiving fit  but it just wasn't flattering at all. i even went down one size and it still was huge. sad to send this one back.,Blouses
0,This blouse is super cute but oddly sized. i bought a size up and still i squeezed into the top around the bust. the front slit is too low and shows a bit too much cleavage  so this had to go back. i really tried because the fabric is wonderful and the shirt is light and breezy for summer  i just couldn't make it work  .,Blouses
0,After the reviews about sizing  i ordered the size 16 (am normally size large). interestingly  the tag on the blouse says it's a 14. with all that said  the blouse is cute enough and sizing up gave me enough length (in spite of the higher sides) that i'm considering keeping it. although it's a bit big  it flows nicely and isn't oversized in that wide  crazy way. the sleeves are a bit too big but they're cuffed with a button and can be rolled. the fabric is somewhat crinkled in texture. i got the,Blouses
0,"I really wanted to like this top  but couldn't seem to find the right fit. i tried it on in 3 different sizes and none of them were right - they were either too wide in the hips  or a little narrow in the shoulder. it is cute overall though - and a good way to do a short top  without feeling like you're in a ""crop top""",Blouses
0,This was my favorite item in the august catalog & i knew i had to have it. my store had not received it yet so i ordered online. after reading the other reviews  i sized down and the fit is still much too large as this top has way too much material. this is coming from someone who loves swing tees and can appreciate a loose fit. however  this top hangs like a tent. also  the elastic around the bottom of the sleeves is quite uncomfortable. i do think the top is pretty and recommend only if you ar,Blouses
0,Gorgeous but just too short in length for anyone with a long torso.  i sized up to get more length  but then the neck opening was way too big and hung open to expose - well  everything up top.  wearing a cami would be an option but would take away from the dressiness of the top.  i had to leave without this item  but was disappointed because i love the colors and cut otherwise!,Blouses
0,This shirt is absolutely beautiful. however  it runs very small. proportion-wise it's okay in the shoulders  bust  and back but it's too short! definitely order up!,Blouses
0,I saw this top online and had to buy it immediate (which is rare for me). it looked loose and forgiving but had a polished look. it didn't disappoint when i tried it on. however  the straps are a bit loose and will need to be altered. the linen fabric can be rough or itchy  but still a gorgeous top!,Blouses
0,Super large and a very weird cut.  the sides were much shorter than the front and back and this just looked awful on me.,Blouses
0,"I loved this top in the blue and wanted so badly for it to fit however it was very unflattering on my 5'7"" frame. the bottom hemline is straight across all around whereas i thought it was longer in the back. i could see this looking great on a really petite frame. runs large  xs fit however wasn't flattering",Blouses
1,This is a very flattering top and the details are spectacular. it is very comfortable to wear and the the appliquã©s and embroidery make this very slimming. as the other reviews noted the side slits go up quite high. i won't be raising my arms much wearing this. the small rhinestones in the center of the black flowers go around the entire sleeve and they catch on the rest of the shirt sometimes. i have to be aware of it and more careful not to make very fast movements until i'm sure i'm not tangl,Blouses
1,"I'm 5'7"" with a 36 b bra size and a size 4 fit perfectly and could not have been more comfortable. one big plus for me is that it is virtually wrinkle free. i purchased the orange which is a lovely muted orange  not neon or too bright and received multiple compliments when i wore it to work the first time.",Blouses
1,I have to disagree with earlier reviewers who suggested this top isn't flattering for larger-breasted women. i'm breastfeeding  so i currently have dds that are the bane of my existence  and i was very happy with the way this top fit across my chest. i didn't give it a full 5 stars for aesthetic/design only because i wish it were a bit longer. it hit me below my waist  but not below the crotch of my jeans where it hits the model (possibly because she is not burdened by swollen breasts). the shir,Blouses
1,I am on the fence with this one.......the black lace on the bottom is beautiful and pairs so well with my black velvet gladiator sandals..... but it came very wrinkled  and the fabric almost feels more like a cheap cotton. i am always in between a sm and med  so tried the small. the shoulders do want to slide up a bit. arms need to be down.  it is very voluminous......and falls below my bottom. would make a pretty maternity top!! the idea of it overall is pretty  but not sure i want all the volu,Blouses
1,I love this top  on me  it looks so flattering  the tie detail is really nice  and i love the white subtle details at the bottom and collar. i actually haven't seen the sleeves unrolled on me  i roll them up. the tie part is a little wrinkled from shipment  but who cares. i ordered the regular 0 as the petite have been sold out a longtime ago  i actually got this shirt a while back and thought i had already written a review... i am wearing it with boyfriend jeans right now (for casual friday and,Blouses
1,I got this shirt in black  and it's perfect for the office. i ordered a medium  which i thought was a little on the larger side. well made  the details make it an interesting top.,Blouses
1,I bought this shirt in a size 10. i am a 32 4d and it fit perfect  but wanted it to fit flowy as it does on the model...so sizing up to a 12. very nice quality fabric...not sure how it will be after it's washed. looks just like the picture. i bought the ivory color.,Blouses
1,I thought this shirt was really feminine and elegant. only downsides is some of the punched out holes had fabric still attached which you have cut off with scissors- otherwise the shirt will snag. and the second issue of bigger importance are the low armholes. lots of bra showing- not really sure how to get around that so i always wear it with a cardigan. but it would be nice not to have to.   other than that it looks nice and pairs nicely with almost anything.,Blouses
1,This top is a lovely combination of rugged and refined and will be versatile wear for a party pared with nice pants and flats to casual with jeans and boots. it appears well made though i had to size up for my broad shoulders but other hh tops fit the same way.,Blouses
-1,I wanted to love this dress. i ordered online and what you cannot see in the picture if the pleating on the dress. i ordered a medium  i am usually a large in retailer and the medium looked like a tent. i realize this should be loose fitting but it was huge.,Dresses
-1,I really loved this dress in the store when i tried it on the color and fabric were perfect for summer but once i got this home i noticed the placket wouldn't lay flat across the bust like shown in pictures. when i went up a size it was too large under the arms so this one will sadly have to go back to the store.,Dresses
-1,I wear med or large in most items. the medium was huge. fit like a moo moo. size down by at least two.,Dresses
-1,"This is a really cute dress  just did not look flattering on me at all. i suppose i could have gone down a size  however i just did not love it. i am 5'3"" 130#  athletic build  36dd. i read the other reviews and everyone loves this dress. here is what i did not like. there are pockets  which i cannot figure out the purpose  that lay oddly all bunched up right at the hips. due to the shape of the dress  it bunches out. on my short frame  it made me look shorter and wider. the fabric is a lightwei",Dresses
-1,This dress runs very large. i am 5'4 and 120 lbs  hourglass  curvy build. i ordered a size small and its enormous on me. the description says fitted but it is not fitted at all. it's like a big wool sack. i'd have to gain 30 lbs for this dress to come close to fitting. i'm very sad that the fit is so far off and the dress is now all sold out in all smaller sizes  including petite. (i never normally buy petite clothes but i think i would have to get a petite xs if it were available). the dress lo,Dresses
-1,The cut of the bodice is very strange and unflattering. it is great quality  but designed poorly. returned it.,Dresses
-1,I really wanted to like this dress. the color is perfect  the design and cut are cut (not always the case at retailer). however  the fabric quality was terrible - a shiny acrylic with cheap nylon lace. it looked like something from a discount store and had to go back.,Dresses
-1,Generally  i find sizing at retailer to be very consistent  so i ordered this dress in the same size that i order all of my other retailer dresses. the bust was way to small. so i had to go and return this and have the next size up shipped to me. it's till way too small! in addition  the shipping was terrible - the dress was just dumped into a bag with no attempt to fold this  and the right strap was defective! it's so irritating that i have to return this again!,Dresses
-1,This dress is thin and completely see through. it is definitely not worth the price tag. would be really cute in a thicker material.,Dresses
0,Love the color and style  but material snags easily,Dresses
0,"As previously mentioned  this dress runs very large. i ordered accordingly  and the small was the right size for my frame  but it was just not flattering. i'm pear shaped  and i found the shoulders to be large  the neck a bit too high  and the overall cut to hug my figure in a very unflattering way. i'm 5'4""  140-ish  and maybe if i were a few pounds lighter and a few inches taller  it could've worked. i so wanted to love this  because it's soft and comfortable and cute  but back it goes.",Dresses
0,"I had really high hopes for this dress  and i am still unsure if i'll keep it or not. i ordered both a small and a medium because i was unsure of this brand. the small fit (i""m usually a 4 s/m at retailer - 34b  140 lb  5'8"") just like it does on the model  only the photo online gives the illusion that this is a slight fit-and-flare dress. this is a shift with pleating subtleties on the bustline that bring it in slightly. also  the colors should be more like ""blue multi"" because there's a bright a",Dresses
0,"This is a beautiful dress with unfortunate design flaws at the bodice of the dress. the fit at hips and length is perfect  falling just to my knee (i'm 5'5"" 142 lbs.) and grazing my hips. in that regard the fit is spectacular. but the bodice seems cut very oddly  which would require tayloring to correct. the armholes are large and flared at the bottom which leaves 'wings' just under the arms that stick out. since this dress has a side zip  to correct that would seem a major undertaking. the stra",Dresses
0,I wanted to love this dress. i went into retailer in sb to try it on and when i saw it on the rack it looked beautiful  both the print and the material. then i tried it on and it fit like a tent. i am just under 5'5 and it hit right below my knees  not like shown in the picture here. on that note  i passed on this one due to the fit. i think this would make a fantastic maternity dress though.,Dresses
0,I wanted to love this dress so much but it just looked frumpy no matter what i did. i'm normally a 14  and i bought a size 12 and it still looks very baggy and not flattering. i'm sad because in photos it's my favorite dress of all time!,Dresses
0,I love this dress. the design is gorgeous. however the bust is extremely small. only someone in the a or b range will fit into their appropriate size. i am disappointed.,Dresses
0,"This is a great dress - nice soft fabric and the red is a nice  vibrant tomato red color.  i ordered a small - i am 5'4"" and usually wear a 4 in dressed.  this dress was so huge - it might be mismarked but labeled a small.  i will have to return it - not even my seamstress can make it fit!",Dresses
0,I was very excited when this dress arrived in the mail. the fabric is so comfortable  but the print was overwhelming. it is also very tight on the top and i got lost in the fabric at the bottom. i had to return it.,Dresses
1,The first reviewer said it was small in the bust  but the 0p i ordered fit everywhere  rib cage and all  but was gaping at the bust (in the back). i would say overall it was true to size but if i sized down  it would be too snug in the rib cage. i am 30dd for reference there and waist is 26.5 inches     otherwise  the make is very pretty  i like the texture in the fabric  the color is very pretty as well. embroidery seemed high quality  but i decided to pass on it  even on sale  since it didn't,Dresses
1,I spend a lot of time on the retailer website. it never occurred to me to try this dress. a salesperson suggested it in the store and i tried it on. it is really cute on. i bought a thrift store denim jacket to throw over it. the only con is the sleeves. i am 5'3' and my arms are not very long. the bell sleeves are a little crazy on me  but they will be hidden under the jacket.,Dresses
1,I am a fan of these designers and their gorgeous fabrics - most of which are heavy brocades. this is so pretty and fun. the print is playful  and colors are gorgeous  and the fit is floaty but not too full or too tight. i love the bit of beading  and that i can dress it up or down.    i am petite and not usually a bigger print or long dress fan  but i know that i will wear this one for years.     i did get a 00 petite as i know that only this small size fits me at retailer - 0's swallow me. this i,Dresses
1,I bought this dress in-store  and it's fantastic. i'm between a medium and a large  and i bought a large because it was the one available  and it's fantastic. some of the polyester is fraying between the seams  which is obviously not ideal  but i'm willing to overlook that for generally how great this dress is.,Dresses
